,name
4579,Steal Artifact
4584,Thoughtlace
4588,Time Walk
4592,Timetwister
4596,Twiddle
4605,Vesuvan Doppelganger
4609,Volcanic Eruption
4618,Wall of Water
4622,Water Elemental
4627,Animate Dead
4630,Bad Moon
4635,Black Knight
4644,Contract from Below
4649,Cursed Land
4654,Dark Ritual
4659,Darkpact
4663,Deathgrip
4667,Deathlace
4672,Demonic Attorney
4677,Demonic Hordes
4682,Demonic Tutor
4686,Drain Life
4696,Evil Presence
4705,Frozen Shade
4709,Gloom
4714,Howl from Beyond
4722,Lich
4731,Mind Twist
4736,Nether Shadow
4741,Nettling Imp
4750,Paralyze
4754,Pestilence
4757,Plague Rats
4761,Raise Dead
4770,Sacrifice
4778,Scavenging Ghoul
4788,Simulacrum
4793,Sinkhole
4807,Wall of Bone
4810,Warp Artifact
4815,Weakness
4820,Will-o'-the-Wisp
4825,Word of Command
4830,Zombie Master
4834,Burrowing
4838,Chaoslace
4842,Disintegrate
4847,Dragon Whelp
4850,Dwarven Demolition Team
4854,Dwarven Warriors
4861,Earthbind
4866,Earthquake
4870,False Orders
4874,Fire Elemental
4879,Fireball
4887,Flashfires
4892,Fork
4896,Goblin Balloon Brigade
4904,Granite Gargoyle
4908,Gray Ogre
4915,Hurloon Minotaur
4919,Ironclaw Orcs
4924,Keldon Warlord
4928,Lightning Bolt
4932,Mana Flare
4940,Mons's Goblin Raiders
4950,Orcish Oriflamme
4954,Power Surge
4958,Raging River
4963,Red Elemental Blast
4968,Roc of Kher Ridges
4972,Rock Hydra
4977,Sedge Troll
4982,Shatter
4990,Smoke
4994,Stone Giant
4999,Stone Rain
5004,Tunnel
5009,Two-Headed Giant of Foriys
5013,Uthden Troll
5021,Wall of Stone
5025,Wheel of Fortune
5030,Aspect of Wolf
5034,Berserk
5043,Camouflage
5048,Channel
5052,Cockatrice
5060,Elvish Archers
5065,Fastbond
5069,Fog
5074,Force of Nature
5079,Fungusaur
5084,Gaea's Liege
5106,Ice Storm
5110,Instill Energy
5115,Ironroot Treefolk
5120,Kudzu
5123,Ley Druid
5128,Lifeforce
5133,Lifelace
5138,Living Artifact
5142,Living Lands
5155,Natural Selection
5163,Regrowth
5167,Scryb Sprites
5171,Shanodin Dryads
5175,Stream of Life
5179,Thicket Basilisk
5184,Timber Wolves
5189,Tranquility
5193,Tsunami
5196,Verduran Enchantress
5200,Wall of Brambles
5205,Wall of Ice
5213,Wanderlust
5218,War Mammoth
5222,Web
5226,Wild Growth
5231,Ankh of Mishra
5236,Basalt Monolith
5240,Black Lotus
5244,Black Vise
5248,Celestial Prism
5252,Chaos Orb
5257,Clockwork Beast
5262,Conservator
5266,Copper Tablet
5271,Crystal Rod
5275,Cyclopean Tomb
5280,Dingus Egg
5285,Disrupting Scepter
5290,Forcefield
5295,Gauntlet of Might
5300,Glasses of Urza
5305,Helm of Chatzuk
5320,Illusionary Mask
5325,Iron Star
5330,Ivory Cup
5334,Jade Monolith
5338,Jade Statue
5351,Kormus Bell
5355,Library of Leng
5359,Living Wall
5364,Mana Vault
5369,Meekstone
5373,Mox Emerald
5376,Mox Jet
5379,Mox Pearl
5383,Mox Ruby
5386,Mox Sapphire
5390,Nevinyrral's Disk
5394,Obsianus Golem
5403,Sol Ring
5407,Soul Net
5411,Sunglasses of Urza
5421,Throne of Bone
5425,Time Vault
5430,Winter Orb
5435,Wooden Sphere
5440,Badlands
5444,Bayou
5449,Plateau
5454,Savannah
5458,Scrubland
5462,Taiga
5466,Tropical Island
5470,Tundra
5474,Underground Sea
5478,Volcanic Island
5550,"Emrakul, the Aeons Torn"
5560,"Kozilek, Butcher of Truth"
5569,"Ulamog, the Infinite Gyre"
5578,Abzan Falconer
5586,Ainok Bond-Kin
5594,Anointer of Valor
5602,Battlefield Promotion
5610,Divine Visitation
5620,Doomed Traveler
5628,Emiel the Blessed
5637,Flickerwisp
5645,Gods Willing
5653,Hyena Umbra
5660,Knightly Valor
5668,Last Breath
5676,Leonin Arbiter
5684,Mentor of the Meek
5692,"Mikaeus, the Lunarch"
5701,Militia Bugler
5709,Momentary Blink
5717,Monastery Mentor
5725,Myth Realized
5733,Path to Exile
5742,Relief Captain
5750,Restoration Angel
5758,Reveillark
5767,Scale Blessing
5775,Seeker of the Way
5783,Sensor Splicer
5791,Settle Beyond Reality
5799,Smothering Tithe
5809,Teferi's Protection
5818,Wall of Omens
5826,Weathered Wayfarer
5836,Wingsteed Rider
5844,Advanced Stitchwing
5852,Aethersnipe
5860,As Foretold
5870,Aven Initiate
5878,Body Double
5886,Breakthrough
5894,Capture Sphere
5902,Consecrated Sphinx
5911,Deep Analysis
5919,Deranged Assistant
5927,Disciple of the Ring
5936,Domestication
5944,Eel Umbra
5952,Forbidden Alchemy
5960,Force of Negation
5970,Gifts Ungiven
5980,Ingenious Skaab
5988,Jeskai Elder
5996,Kasmina's Transmutation
6004,Kederekt Leviathan
6013,Makeshift Mauler
6021,Mana Drain
6031,Mana Leak
6039,Mistfire Adept
6047,Mulldrifter
6055,Nephalia Smuggler
6063,Pull from Tomorrow
6073,Spell Pierce
6083,"Talrand, Sky Summoner"
6092,Thought Scour
6099,"Venser, Shaper Savant"
6107,Wash Out
6116,Balustrade Spy
6124,Bitterblossom
6134,Blood Artist
6144,Bloodflow Connoisseur
6152,Carrier Thrall
6160,Damnation
6170,Disfigure
6178,Eyeblight's Ending
6186,Go for the Throat
6193,Graveblade Marauder
6201,Gravecrawler
6210,Imperial Seal
6220,Inquisition of Kozilek
6228,"Liliana, the Last Hope"
6238,Liliana's Elite
6246,Necrotic Ooze
6255,"Ob Nixilis, Unshackled"
6264,Oona's Prowler
6272,Scion of Darkness
6280,Seekers' Squire
6288,Severed Strands
6296,Shadowborn Apostle
6305,Skeleton Archer
6313,Skinrender
6320,Strands of Undeath
6328,Supernatural Stamina
6336,Surgical Extraction
6345,Unburial Rites
6353,Unearth
6362,Vampire Sovereign
6370,Vampiric Rites
6378,"Yahenni, Undying Partisan"
6386,Abbot of Keral Keep
6394,"Alesha, Who Smiles at Death"
6402,Anger of the Gods
6411,Backdraft Hellkite
6420,Bedlam Reveler
6430,Chaos Warp
6439,Dark-Dweller Oracle
6448,Dockside Extortionist
6457,Dreamshaper Shaman
6465,Fiery Fall
6473,Goblin Banneret
6481,Greater Gargadon
6490,Hero of the Games
6498,Hissing Iguanar
6506,Kruin Striker
6514,Labyrinth Champion
6522,Lava Coil
6539,Living Lightning
6547,Monastery Swiftspear
6556,Pirate's Pillage
6562,Purphoros's Emissary
6570,Rift Bolt
6579,Seasoned Pyromancer
6587,Sparkmage's Gambit
6595,Staggershock
6603,Storm Fleet Pyromancer
6611,Surreal Memoir
6619,Titan's Strength
6627,Twinflame
6636,Warrior's Oath
6645,Young Pyromancer
6653,Allosaurus Shepherd
6662,Ambuscade
6670,Annoyed Altisaur
6678,Arachnus Spinner
6686,Arachnus Web
6694,Biogenic Upgrade
6702,Bloom Tender
6711,Brindle Shoat
6719,Centaur Battlemaster
6727,Concordant Crossroads
6737,Deadly Recluse
6745,Devoted Druid
6755,Elvish Rejuvenator
6763,Eternal Witness
6771,Experiment One
6779,Food Chain
6789,Gnarlback Rhino
6797,Grapple with the Past
6805,Green Sun's Zenith
6814,Hardened Scales
6824,Impervious Greatwurm
6834,Might of Old Krosa
6842,Oracle of Mul Daya
6858,Rancor
6866,"Rishkar, Peema Renegade"
6875,Spider Spawning
6882,Splinterfright
6891,Summer Bloom
6899,Thrive
6907,Travel Preparations
6915,Tuskguard Captain
6923,Webweaver Changeling
6932,Abzan Ascendancy
6941,Abzan Charm
6949,Aethermage's Touch
6957,Agony Warp
6965,"Aminatou, the Fateshifter"
6973,Anguished Unmaking
6983,"Animar, Soul of Elements"
6991,"Arjun, the Shifting Flame"
7000,Ashen Rider
7009,Ashenmoor Liege
7019,Assassin's Trophy
7028,Atarka's Command
7038,"Atla Palani, Nest Tender"
7047,Auger Spree
7055,"Aurelia, the Warleader"
7064,Balefire Liege
7073,Bant Charm
7082,Bear's Companion
7090,Blazing Hellhound
7098,Bloodbraid Elf
7106,Bloodwater Entity
7114,Boartusk Liege
7124,Bounty of the Luxa
7132,Bring to Light
7142,Burning-Tree Emissary
7150,Call to the Feast
7158,Cartel Aristocrat
7166,Child of Alara
7176,Chronicler of Heroes
7184,Coiling Oracle
7192,Conclave Mentor
7201,Crackling Doom
7209,Creakwood Liege
7218,Dack's Duplicate
7226,Dauntless Escort
7234,Deathbringer Liege
7242,"Doran, the Siege Tower"
7252,Dragonlord Dromoka
7262,Dragonlord Silumgar
7271,Dreg Mangler
7279,Drogskol Reaver
7288,Dromoka's Command
7297,"Elenda, the Dusk Rose"
7307,Elsha of the Infinite
7317,Empyrial Archangel
7325,Extract from Darkness
7333,"Ezuri, Claw of Progress"
7342,Fiery Justice
7350,Figure of Destiny
7360,Fireblade Artist
7368,Firesong and Sunspeaker
7376,"Ghave, Guru of Spores"
7385,Glen Elendra Liege
7395,Glimpse the Unthinkable
7405,Gloryscale Viashino
7413,Glowspore Shaman
7421,Grand Arbiter Augustin IV
7431,Grim Flayer
7440,Ground Assault
7448,Guided Passage
7458,Hellkite Overlord
7468,Heroic Reinforcements
7476,Hostage Taker
7484,Hydroid Krasis
7492,"Intet, the Dreamer"
7502,Izzet Charm
7510,Jeskai Ascendancy
7519,Jeskai Charm
7527,"Jodah, Archmage Eternal"
7536,"Judith, the Scourge Diva"
7544,Kaalia of the Vast
7553,Kaervek the Merciless
7563,"Kambal, Consul of Allocation"
7573,"Karador, Ghost Chieftain"
7582,Kolaghan's Command
7592,Lavalanche
7600,League Guildmage
7608,Legion's Initiative
7618,Lightning Helix
7628,Lord of Extinction
7638,Lotleth Troll
7646,Lyev Skyknight
7654,Magister Sphinx
7663,"Marchesa, the Black Rose"
7673,Martial Glory
7681,Master Biomancer
7690,Master of Cruelties
7699,"Mathas, Fiend Seeker"
7709,Mayael's Aria
7718,The Mimeoplasm
7727,Mindwrack Liege
7736,Mistmeadow Witch
7744,Mizzix of the Izmagnus
7753,"Muldrotha, the Gravetide"
7763,Murkfiend Liege
7772,"Nicol Bolas, God-Pharaoh"
7781,Orzhov Pontiff
7789,Phyrexian Tyranny
7799,Privileged Position
7808,Prized Amalgam
7817,Prophetic Bolt
7825,Psychic Symbiont
7833,Qasali Pridemage
7841,Rafiq of the Many
7850,River Hoopoe
7858,Roon of the Hidden Realm
7867,"Ruric Thar, the Unbowed"
7877,Scab-Clan Giant
7885,Sedraxis Specter
7893,"Sedris, the Traitor King"
7903,Shattergang Brothers
7912,"Sidisi, Brood Tyrant"
7921,"Skullbriar, the Walking Grave"
7931,Sprouting Thrinax
7939,Sultai Soothsayer
7947,Supreme Verdict
7956,"Tariel, Reckoner of Souls"
7966,"Teneb, the Harvester"
7976,Tenth District Legionnaire
7984,Terminate
7992,Thistledown Liege
8001,Thousand-Year Storm
8009,Thraximundar
8018,Tower Gargoyle
8026,"Ulasht, the Hate Seed"
8034,"Uril, the Miststalker"
8044,"Varina, Lich Queen"
8054,Villainous Wealth
8063,"Wasitora, Nekoru Queen"
8071,Wilt-Leaf Liege
8079,Winged Coatl
8087,Wrenn and Six
8096,Zur the Enchanter
8106,Aether Vial
8115,Bloodforged Battle-Axe
8124,Civic Saber
8132,Coldsteel Heart
8140,Conqueror's Flail
8159,Darksteel Plate
8168,Dragon Arch
8176,Firemind Vessel
8186,Livewire Lash
8203,Nim Deathmantle
8212,Panharmonicon
8221,Phyrexian Altar
8240,Planar Bridge
8249,Sensei's Divining Top
