,cmc,power,resistence,raridades,cluster_textclass,predicted_cluster,true_label
63,0.25,0.1875,0.06666666666666667,0.0,0.18401486988847582,481,0.08
64,0.125,0.0625,0.0,0.5,0.18401486988847582,277,0.25
65,0.25,0.0625,0.13333333333333336,0.5,0.18401486988847582,1043,0.04
66,0.3125,0.125,0.0,0.5,0.9275092936802973,1083,0.25
67,0.125,0.125,0.06666666666666667,0.875,0.43680297397769513,437,16.95
68,0.1875,0.1875,0.13333333333333336,0.0,0.8773234200743494,1087,0.05
69,0.125,0.0625,0.06666666666666667,0.5,0.10408921933085502,911,0.36
70,0.1875,0.0625,0.26666666666666666,0.5,0.7360594795539033,106,0.0
71,0.1875,0.125,0.13333333333333336,0.0,0.5278810408921932,1178,0.1
72,0.375,0.1875,0.13333333333333336,0.875,0.18401486988847582,459,0.0
73,0.25,0.1875,0.13333333333333336,0.5,0.7267657992565055,267,19.13
74,0.1875,0.125,0.06666666666666667,0.875,0.8085501858736059,156,2.45
75,0.125,0.0625,0.0,0.0,0.8866171003717471,1266,0.0
76,0.1875,0.125,0.0,0.0,0.05390334572490706,271,0.0
77,0.125,0.125,0.06666666666666667,0.0,0.19144981412639403,349,399.99
78,0.0625,0.0625,0.0,0.0,0.8921933085501859,501,0.45
79,0.25,0.1875,0.13333333333333336,0.875,0.4052044609665427,141,13.0
80,0.25,0.125,0.06666666666666667,0.5,0.5278810408921932,188,0.09
81,0.125,0.125,0.0,0.5,0.7286245353159851,232,0.1
82,0.1875,0.25,0.2,0.5,0.4386617100371747,1177,0.25
83,0.25,0.125,0.06666666666666667,0.0,0.6840148698884758,236,0.07
84,0.1875,0.125,0.06666666666666667,0.5,0.15055762081784385,289,0.0
85,0.1875,0.125,0.06666666666666667,0.5,0.9925650557620818,1000,0.49
86,0.1875,0.0625,0.0,0.0,0.21933085501858735,615,0.04
87,0.4375,0.4375,0.4,0.875,0.18029739776951673,526,0.0
88,0.1875,0.125,0.06666666666666667,0.875,0.4052044609665427,12,139.99
89,0.1875,0.125,0.06666666666666667,0.0,0.9591078066914498,251,0.1
90,0.25,0.125,0.0,0.5,0.061338289962825275,550,0.15
91,0.4375,0.25,0.2,0.625,0.061338289962825275,929,199.77
92,0.1875,0.125,0.06666666666666667,0.0,0.6840148698884758,143,0.07
93,0.0625,0.0625,0.0,0.0,0.7267657992565055,223,0.0
94,0.125,0.0625,0.0,0.0,0.4107806691449814,316,0.14
95,0.1875,0.125,0.06666666666666667,0.875,0.9256505576208178,667,99.9
96,0.1875,0.0625,0.0,0.875,0.35130111524163565,976,2.75
97,0.3125,0.25,0.2,0.5,0.18401486988847582,1205,0.0
98,0.1875,0.125,0.06666666666666667,0.0,0.17472118959107805,410,0.0
99,0.125,0.125,0.06666666666666667,0.0,0.6301115241635687,306,0.05
100,0.125,0.0625,0.0,0.5,0.8085501858736059,452,0.04
101,0.0625,0.0,0.0,0.0,0.18401486988847582,1079,0.05
102,0.25,0.125,0.13333333333333336,0.0,0.7230483271375464,750,0.1
103,0.5,0.375,0.33333333333333337,0.875,0.7156133828996282,603,0.13
104,0.1875,0.1875,0.13333333333333336,0.0,0.4479553903345725,522,0.1
105,0.1875,0.125,0.0,0.0,0.6765799256505576,379,0.11
106,0.25,0.375,0.26666666666666666,0.0,0.9516728624535316,217,0.1
107,0.0625,0.0625,0.0,0.0,0.3308550185873606,796,0.05
108,0.3125,0.375,0.33333333333333337,0.5,0.3643122676579926,260,10.0
109,0.1875,0.125,0.06666666666666667,0.5,0.10780669144981413,190,0.21
110,0.25,0.125,0.06666666666666667,0.5,0.671003717472119,392,0.04
111,0.125,0.125,0.06666666666666667,0.0,0.7211895910780669,871,0.08
112,0.1875,0.125,0.06666666666666667,0.875,0.7211895910780669,492,0.0
113,0.1875,0.0625,0.06666666666666667,0.0,0.18401486988847582,1277,0.0
114,0.25,0.1875,0.13333333333333336,0.0,0.1765799256505576,103,0.0
115,0.375,0.375,0.0,0.875,0.17843866171003717,228,0.25
116,0.25,0.1875,0.13333333333333336,0.875,0.533457249070632,278,0.5
117,0.25,0.25,0.0,0.0,0.17843866171003717,927,0.1
118,0.0625,0.0625,0.0,0.5,0.08736059479553902,94,0.2
119,0.1875,0.0625,0.13333333333333336,0.5,0.862453531598513,543,0.0
120,0.1875,0.0625,0.0,0.5,0.10780669144981413,109,0.09
121,0.125,0.125,0.0,0.5,0.4702602230483271,16,0.04
122,0.0625,0.0625,0.0,0.0,0.17843866171003717,1079,0.0
123,0.3125,0.1875,0.13333333333333336,0.0,0.1765799256505576,499,0.07
124,0.3125,0.4375,0.4,0.875,0.8513011152416357,640,0.7
125,0.375,0.3125,0.26666666666666666,0.875,0.18401486988847582,430,169.99
126,0.4375,0.3125,0.26666666666666666,0.875,0.18401486988847582,71,0.44
127,0.1875,0.25,0.13333333333333336,0.875,0.4535315985130111,1296,0.95
128,0.3125,0.125,0.06666666666666667,0.875,0.09479553903345725,1324,0.95
129,0.0625,0.1875,0.0,0.5,0.10223048327137546,1176,2.49
130,0.1875,0.0625,0.0,0.5,0.5278810408921932,269,0.38
131,0.3125,0.25,0.13333333333333336,0.0,0.17843866171003717,582,0.05
132,0.25,0.1875,0.06666666666666667,0.0,0.5855018587360594,38,0.05
133,0.125,0.125,0.0,0.0,0.17843866171003717,34,0.08
134,0.1875,0.0,0.26666666666666666,0.5,0.9795539033457249,1153,0.0
135,0.5,0.5,0.4666666666666667,0.875,0.6747211895910781,639,1.4
136,0.0625,0.0,0.0,0.875,0.9144981412639405,675,34.93
137,0.125,0.0625,0.13333333333333336,0.0,0.5576208178438662,203,0.09
138,0.1875,0.125,0.06666666666666667,0.0,0.020446096654275093,298,0.04
139,0.3125,0.1875,0.13333333333333336,0.5,0.4256505576208178,389,0.0
140,0.0625,0.0625,0.0,0.0,0.5780669144981412,948,0.1
141,0.1875,0.125,0.06666666666666667,0.875,0.11524163568773234,527,58.55
142,0.25,0.0625,0.0,0.875,0.10408921933085502,1040,12.83
143,0.1875,0.125,0.06666666666666667,0.5,0.5427509293680297,90,0.25
144,0.125,0.0625,0.0,0.875,0.6059479553903345,249,0.0
145,0.25,0.125,0.2,0.0,0.5576208178438662,276,0.04
146,0.25,0.375,0.33333333333333337,0.5,0.21561338289962825,860,0.1
147,0.125,0.125,0.0,0.875,0.9144981412639405,107,4.75
148,0.25,0.1875,0.2,0.5,0.5539033457249071,586,0.07
149,0.3125,0.1875,0.13333333333333336,0.0,0.1486988847583643,499,0.1
150,0.0625,0.0625,0.0,0.875,0.15985130111524162,967,90.0
151,0.1875,0.125,0.13333333333333336,0.0,0.7100371747211895,561,0.1
152,0.125,0.125,0.0,0.5,0.7713754646840149,1257,0.15
153,0.1875,0.125,0.13333333333333336,0.875,0.009293680297397768,954,0.0
154,0.1875,0.1875,0.0,0.0,0.16356877323420074,598,0.08
